Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14988444,2,"Friday, May 20, 2011 14:36:40 UTC",32.9390,-116.2655,1.2,12.00,49,"Southern California"
ak,10237420,1,"Friday, May 20, 2011 14:31:00 UTC",63.2804,-151.3668,1.5,0.00,10,"Central Alaska"
ci,14988436,2,"Friday, May 20, 2011 14:26:50 UTC",32.9355,-116.2608,1.4,14.20,44,"Southern California"
nn,00338040,7,"Friday, May 20, 2011 14:04:47 UTC",38.4163,-118.7407,1.6,5.50,20,"Nevada"
pr,11140009,0,"Friday, May 20, 2011 13:35:28 UTC",18.8969,-66.4670,2.7,5.30, 3,"Puerto Rico region"
nn,00338037,7,"Friday, May 20, 2011 13:24:00 UTC",36.6307,-115.4547,1.7,2.90,20,"Nevada"
nc,71572675,6,"Friday, May 20, 2011 13:00:32 UTC",39.2377,-123.1728,1.4,6.60,13,"Northern California"
nc,71572670,3,"Friday, May 20, 2011 12:58:31 UTC",38.8090,-122.7955,1.2,3.50,46,"Northern California"
ak,10237401,2,"Friday, May 20, 2011 12:51:51 UTC",59.8985,-153.2924,4.2,136.40,83,"Southern Alaska"
nc,71572655,3,"Friday, May 20, 2011 12:34:53 UTC",38.8298,-122.7590,2.0,1.60,68,"Northern California"
ak,10237397,1,"Friday, May 20, 2011 12:28:40 UTC",58.2259,-154.8470,1.9,7.50, 8,"Alaska Peninsula"
ci,14988412,2,"Friday, May 20, 2011 12:08:56 UTC",33.0082,-116.3373,1.0,8.00,34,"Southern California"
ak,10237393,1,"Friday, May 20, 2011 11:56:58 UTC",63.5522,-147.4129,1.4,0.10,10,"Central Alaska"
nc,71572650,2,"Friday, May 20, 2011 11:54:34 UTC",38.8115,-122.8302,1.1,2.60,44,"Northern California"
ci,14988404,2,"Friday, May 20, 2011 11:40:54 UTC",32.6637,-115.9593,1.2,5.20,17,"Southern California"
ci,14988396,2,"Friday, May 20, 2011 11:39:02 UTC",32.6642,-115.9625,1.3,5.20,14,"Southern California"
nn,00338027,7,"Friday, May 20, 2011 11:30:57 UTC",38.4215,-118.7460,1.2,3.50,18,"Nevada"
ci,14988388,2,"Friday, May 20, 2011 11:28:21 UTC",33.4258,-116.4342,1.6,15.30,72,"Southern California"
nc,71572630,3,"Friday, May 20, 2011 11:21:07 UTC",38.8057,-122.7900,1.7,2.00,58,"Northern California"
us,c0003jmi,5,"Friday, May 20, 2011 11:10:11 UTC",-53.6044,140.8781,4.8,9.90,19,"west of Macquarie Island"
ak,10237382,2,"Friday, May 20, 2011 11:07:50 UTC",60.4785,-152.7840,1.6,2.10,14,"Southern Alaska"
us,c0003jmc,6,"Friday, May 20, 2011 11:02:50 UTC",-29.1736,-69.2308,4.3,100.80,49,"San Juan, Argentina"
ci,14988372,2,"Friday, May 20, 2011 10:55:49 UTC",33.0030,-116.3440,1.4,8.20,43,"Southern California"
ci,14988380,3,"Friday, May 20, 2011 10:55:49 UTC",33.0110,-116.3260,1.8,7.00, 9,"Southern California"
us,c0003jlj,5,"Friday, May 20, 2011 10:34:18 UTC",-24.2241,-67.0675,4.5,164.50,19,"Salta, Argentina"
ak,10237377,1,"Friday, May 20, 2011 10:32:13 UTC",61.3892,-150.0508,1.7,39.60, 7,"Southern Alaska"
ci,14988364,2,"Friday, May 20, 2011 10:26:23 UTC",33.1715,-115.6553,1.2,1.50,41,"Southern California"
ci,14988348,3,"Friday, May 20, 2011 09:10:32 UTC",34.0088,-117.2253,1.1,18.80,19,"Greater Los Angeles area, California"
ci,14988340,2,"Friday, May 20, 2011 09:07:08 UTC",33.9762,-116.9722,1.0,16.30,48,"Southern California"
nc,71572585,3,"Friday, May 20, 2011 08:56:52 UTC",37.6332,-122.0460,1.7,2.50,59,"San Francisco Bay area, California"
us,c0003jks,7,"Friday, May 20, 2011 08:53:04 UTC",35.9018,140.0029,4.9,74.10,113,"near the east coast of Honshu, Japan"
ak,10237363,1,"Friday, May 20, 2011 08:18:18 UTC",59.9745,-152.5008,1.6,0.10, 7,"Southern Alaska"
ci,14988316,0,"Friday, May 20, 2011 07:56:50 UTC",33.0012,-116.3430,1.2,9.30,44,"Southern California"
pr,11140008,0,"Friday, May 20, 2011 07:56:40 UTC",17.8680,-65.6019,2.7,11.10, 7,"Puerto Rico region"
pr,11140000,0,"Friday, May 20, 2011 07:55:19 UTC",17.8640,-65.5950,2.9,10.10,11,"Puerto Rico region"
nn,00338005,7,"Friday, May 20, 2011 07:48:22 UTC",38.5328,-118.1453,2.4,2.80, 5,"Nevada"
us,c0003jjq,7,"Friday, May 20, 2011 07:28:47 UTC",37.4297,141.5443,5.3,38.50,158,"near the east coast of Honshu, Japan"
ci,14988308,0,"Friday, May 20, 2011 07:28:24 UTC",33.0262,-115.5462,1.6,18.50,34,"Southern California"
ak,10237352,1,"Friday, May 20, 2011 07:26:34 UTC",64.1154,-149.9719,1.2,16.00, 7,"Central Alaska"
nn,00338002,7,"Friday, May 20, 2011 07:25:29 UTC",38.4153,-118.7372,1.4,5.70,16,"Nevada"
ak,10237346,1,"Friday, May 20, 2011 07:11:41 UTC",63.9611,-148.7699,2.1,0.00,15,"Central Alaska"
nc,71572565,4,"Friday, May 20, 2011 06:36:35 UTC",39.0215,-122.5898,1.5,0.00,13,"Northern California"
ci,14988284,0,"Friday, May 20, 2011 06:07:00 UTC",33.2282,-116.1023,1.3,9.80,49,"Southern California"
ci,14988276,0,"Friday, May 20, 2011 06:04:53 UTC",32.1573,-115.2905,2.7,13.50,16,"Baja California, Mexico"
nn,00337989,7,"Friday, May 20, 2011 05:50:55 UTC",38.4262,-118.7342,1.8,4.00,28,"Nevada"
nn,00337985,7,"Friday, May 20, 2011 05:32:58 UTC",38.4225,-118.7355,1.4,5.20,21,"Nevada"
us,c0003jij,8,"Friday, May 20, 2011 05:16:45 UTC",25.5379,142.5917,4.9,48.40,156,"Volcano Islands, Japan region"
ak,10237327,1,"Friday, May 20, 2011 05:16:40 UTC",59.9918,-153.6533,2.6,100.00,20,"Southern Alaska"
nc,71572540,3,"Friday, May 20, 2011 04:53:54 UTC",35.5630,-120.8018,1.4,5.10,41,"Central California"
us,c0003jic,7,"Friday, May 20, 2011 04:51:45 UTC",72.8148,121.2293,4.9,14.90,169,"northwestern Sakha, Russia"
us,c0003jib,7,"Friday, May 20, 2011 04:39:00 UTC",-41.2854,-89.0823,4.9,10.50,96,"southeast of Easter Island"
nn,00337973,7,"Friday, May 20, 2011 04:13:44 UTC",38.4225,-118.7433,1.4,5.40,10,"Nevada"
nn,00337972,7,"Friday, May 20, 2011 04:07:21 UTC",38.4253,-118.7413,1.0,6.00, 9,"Nevada"
nn,00337970,7,"Friday, May 20, 2011 04:04:14 UTC",38.4275,-118.7345,1.5,5.70,21,"Nevada"
nc,71572525,3,"Friday, May 20, 2011 04:03:24 UTC",38.7933,-122.7732,1.2,3.50,46,"Northern California"
pr,11140003,2,"Friday, May 20, 2011 03:54:54 UTC",17.8780,-65.5960,3.9,6.50,30,"Puerto Rico region"
pr,11140004,0,"Friday, May 20, 2011 03:26:46 UTC",19.0690,-64.6910,2.8,66.10, 4,"Virgin Islands region"
ci,14988236,0,"Friday, May 20, 2011 03:25:12 UTC",33.2248,-116.7462,1.4,13.60,66,"Southern California"
us,c0003jhr,9,"Friday, May 20, 2011 03:14:51 UTC",6.7596,-72.9766,4.7,165.70,203,"northern Colombia"
pr,11140001,0,"Friday, May 20, 2011 02:57:03 UTC",18.8059,-64.4440,2.9,95.50, 4,"Virgin Islands region"
nc,71572515,0,"Friday, May 20, 2011 02:55:33 UTC",38.7870,-122.7742,1.0,2.40,16,"Northern California"
ci,14988228,0,"Friday, May 20, 2011 02:48:29 UTC",33.0258,-115.5357,2.1,18.70,33,"Southern California"
pr,11140002,0,"Friday, May 20, 2011 02:41:42 UTC",19.0890,-64.6350,3.2,62.00, 9,"Virgin Islands region"
mb,11060947,2,"Friday, May 20, 2011 02:33:32 UTC",48.2805,-114.1693,1.5,14.30,16,"western Montana"
pr,11140006,0,"Friday, May 20, 2011 02:14:56 UTC",19.0699,-64.6940,3.2,64.80, 8,"Virgin Islands region"
pr,11140005,0,"Friday, May 20, 2011 02:12:42 UTC",19.2140,-64.7990,2.8,9.00, 3,"Virgin Islands region"
ci,14988204,0,"Friday, May 20, 2011 02:03:31 UTC",33.7477,-117.5257,1.5,3.90,54,"Greater Los Angeles area, California"
nn,00337949,7,"Friday, May 20, 2011 01:58:18 UTC",38.4258,-118.6998,2.1,4.60,35,"Nevada"
ci,14988196,3,"Friday, May 20, 2011 01:34:50 UTC",33.0405,-115.6362,1.1,6.50, 6,"Southern California"
nc,71572485,3,"Friday, May 20, 2011 01:34:31 UTC",36.5730,-121.1657,2.4,3.30,68,"Central California"
nc,71572480,2,"Friday, May 20, 2011 01:29:23 UTC",38.7772,-122.7182,1.1,3.10,32,"Northern California"
nn,00337942,7,"Friday, May 20, 2011 01:27:13 UTC",38.4273,-118.7437,1.3,6.40, 9,"Nevada"
nn,00337941,7,"Friday, May 20, 2011 01:22:46 UTC",38.4258,-118.7393,1.6,6.00,20,"Nevada"
ci,14988188,2,"Friday, May 20, 2011 01:18:42 UTC",33.7735,-116.1382,1.2,6.30,40,"Southern California"
nn,00337939,7,"Friday, May 20, 2011 01:13:03 UTC",38.4163,-118.7755,2.2,0.10,38,"Nevada"
ci,14988180,2,"Friday, May 20, 2011 01:11:25 UTC",32.6787,-115.7893,1.1,5.30,13,"Southern California"
ci,14988172,2,"Friday, May 20, 2011 01:04:56 UTC",32.4675,-115.5992,2.5,10.00,29,"Baja California, Mexico"
ak,10237273,2,"Friday, May 20, 2011 01:03:21 UTC",63.5126,-148.9667,1.1,4.30,10,"Central Alaska"
ci,14988164,2,"Friday, May 20, 2011 01:03:13 UTC",34.0665,-118.5473,1.7,5.00,32,"Greater Los Angeles area, California"
nn,00337934,7,"Friday, May 20, 2011 00:50:57 UTC",38.4240,-118.7377,1.6,4.70,12,"Nevada"
ak,10237264,1,"Friday, May 20, 2011 00:48:34 UTC",63.1664,-150.7527,1.5,100.00,12,"Central Alaska"
us,c0003jg4,B,"Friday, May 20, 2011 00:46:17 UTC",35.7740,140.9611,5.6,29.20,430,"near the east coast of Honshu, Japan"
ci,14988148,4,"Friday, May 20, 2011 00:38:30 UTC",34.0702,-118.5422,1.9,4.80,38,"Greater Los Angeles area, California"
nn,00337928,7,"Friday, May 20, 2011 00:35:22 UTC",39.0285,-118.7982,1.1,4.90, 7,"Nevada"
ci,14988132,3,"Friday, May 20, 2011 00:29:19 UTC",32.7512,-115.4158,1.9,13.90,16,"Southern California"
nn,00337923,7,"Friday, May 20, 2011 00:20:46 UTC",38.4176,-118.7414,3.6,2.80,21,"Nevada"
nc,71572440,3,"Friday, May 20, 2011 00:13:40 UTC",38.8358,-122.7748,1.5,3.00,51,"Northern California"
us,c0003jf8,5,"Friday, May 20, 2011 00:10:11 UTC",37.8221,142.2989,4.7,37.90,46,"off the east coast of Honshu, Japan"
us,c0003jf2,8,"Friday, May 20, 2011 00:05:15 UTC",15.3670,-93.2122,4.4,79.00,182,"offshore Chiapas, Mexico"
ak,10237718,2,"Thursday, May 19, 2011 23:34:24 UTC",58.6132,-154.0047,1.9,80.80,11,"Alaska Peninsula"
us,c0003jdv,6,"Thursday, May 19, 2011 22:45:38 UTC",33.6088,-107.5225,2.8,5.20,14,"New Mexico"
uu,05192222,2,"Thursday, May 19, 2011 22:22:00 UTC",44.7552,-111.2023,2.6,8.60,21,"western Montana"
ci,14988052,2,"Thursday, May 19, 2011 22:17:29 UTC",36.0317,-117.7658,1.0,3.50,19,"Central California"
