"Year","CITATION","SAMPLE NAME","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE, PREFIX","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","RIM/CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","METHOD","COMMENT","INSTITUTION","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","SC(PPM)","V(PPM)","CR(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","PB(PPM)","TH(PPM)","TH(PPM)","U(PPM)","ND143_ND144","SM147_ND144","PB207_PB206","PB208_PB206","PB206_U238","ALBITE(MOL%)","ANORTHITE(MOL%)","ORTHOCLASE(MOL%)","ULVOSPINEL(MOL%)","AGE(MA)",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN015A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","RHYOLITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","72.82","0.55","13.72","","2.91","","1.45","0.57","0.1","2.95","4.83","0.09","","","27","14","80","2","5","50","14.4","52","230","35","230","11","","974","","","","","","","","","","","","","","","","7.5","3.2","3.2","1.6","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN026A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","RHYOLITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","72.84","0.41","14.2","","2.43","","1.96","0.52","0.1","2.54","4.9","0.09","","","19","9","97","0","4","84","16","54","326","25","161","7","","825","","","","","","","","","","","","","","","","19","3.9","3.9","1.2","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN019D","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","RHYOLITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","76.41","0.31","13.02","","1.88","","0.99","0.2","0.05","1.18","5.92","0.04","","","9","14","90","0","5","32","13.1","22","173","39","230","10","","540","","","","","","","","","","","","","","","","6.5","2.9","2.9","1.6","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN019A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","RHYOLITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","76.66","0.09","13.49","","0.85","","0.44","0.09","0.05","3.74","4.58","0.02","","","9","14","87","0","2","33","21.7","85","125","5","80","31","","162","","","","","","","","","","","","","","","","19","11.6","11.6","4.3","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN054C","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","RHYOLITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","82.06","0.29","12.05","","0.82","","0.12","0.49","0.01","3.88","0.23","0.04","","","21","9","160","0","1","20","17.3","85","18","26","181","8","","802","","","","","","","","","","","","","","","","4","6.4","6.4","1.9","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN070A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","IGN","","UNIVERSITÄT MAINZ","","","","","","","","","","","","","8.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN064B","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","IGN","","UNIVERSITÄT MAINZ","","","","","","","","","","","","","3.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN069A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","IGN","","UNIVERSITÄT MAINZ","","","","","","","","","","","","","2.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN068A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","IGN","","UNIVERSITÄT MAINZ","","","","","","","","","","","","","2.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN022A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","BASALT","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","IGN","","UNIVERSITÄT MAINZ","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
